iteration,convergenceIndicator,phase,a,aS_pop,dI_pop,dS_pop,initT_pop,lBt0_pop,n_pop,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_n
167,1140.52,1,0.366523,1.59673,2.28681,0.00098527,-11.6356,-4.61979,0.090785,0.751455,0.601735,4.237,0.293918,0.705828
168,1125.6,1,0.361703,1.59731,2.23359,0.000986182,-11.7535,-4.62174,0.0895413,0.75388,0.588534,4.3218,0.297757,0.711627
169,1110.15,1,0.355975,1.60099,2.24645,0.000979997,-11.6997,-4.62678,0.0914781,0.750906,0.605163,4.34091,0.29654,0.731946
170,1111.26,1,0.357239,1.60055,2.24493,0.00101171,-11.8281,-4.62489,0.0895343,0.731893,0.607408,4.48633,0.290317,0.72749
171,1117.2,1,0.359615,1.60202,2.21869,0.00102669,-11.7288,-4.61764,0.0911244,0.724639,0.599026,4.4307,0.283256,0.738714
172,1107.4,1,0.35803,1.60261,2.26136,0.00103143,-11.7124,-4.61284,0.0906464,0.719932,0.589897,4.50268,0.282939,0.720009
173,1122.26,1,0.361505,1.60111,2.21999,0.00101575,-11.7815,-4.61463,0.0898215,0.739685,0.581253,4.43993,0.28765,0.72026
174,1123.19,1,0.361692,1.60027,2.23496,0.00101982,-11.6209,-4.61694,0.0912219,0.780861,0.57969,4.38139,0.281843,0.709478
175,1116.65,1,0.358784,1.59909,2.2902,0.00101395,-11.6864,-4.60808,0.0940077,0.797483,0.565012,4.43957,0.287631,0.718553
176,1098.13,1,0.356812,1.60283,2.32442,0.00101862,-11.4381,-4.60588,0.0932678,0.792583,0.564704,4.32751,0.290417,0.700359
177,1106.17,1,0.359015,1.60217,2.36347,0.000996712,-11.3884,-4.60931,0.0928969,0.792078,0.556405,4.34573,0.29255,0.682626
178,1093.78,1,0.356881,1.60675,2.33725,0.00101365,-11.0986,-4.60939,0.0954744,0.772022,0.552394,4.23569,0.290663,0.671991
179,1101.06,1,0.359282,1.60511,2.32069,0.00101585,-11.3066,-4.60463,0.0938895,0.752931,0.551644,4.43224,0.288595,0.654976
180,1101.18,1,0.359504,1.60078,2.31802,0.00100215,-11.4034,-4.61276,0.0969941,0.747985,0.549187,4.32001,0.286511,0.674943
181,1074.53,1,0.354393,1.59784,2.40203,0.00099382,-11.2234,-4.60182,0.0937313,0.737998,0.543201,4.22435,0.290392,0.657853
182,1090.51,1,0.35702,1.59842,2.3759,0.00100898,-11.1743,-4.60035,0.0942279,0.73899,0.560044,4.31534,0.288664,0.65399
183,1091.45,1,0.356384,1.5982,2.30833,0.00102948,-11.3733,-4.59844,0.0941126,0.751847,0.568237,4.39898,0.29265,0.637431
184,1109.08,1,0.360405,1.59447,2.27587,0.0010369,-11.334,-4.59297,0.0946212,0.771235,0.562161,4.4907,0.298776,0.62129
