initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lk_abscissa,lk_cdf,lae_abscissa,lae_cdf,lw_abscissa,lw_cdf,dE_abscissa,dE_cdf,split
-0.655825,0.252941,-0.582057,0.252941,-0.614743,0.252941,-0.647227,0.252941,-0.705583,0.252941,-0.444496,0.252941,-0.758843,0.252941,-0.85126,0.252941,All
-0.653173,0.254902,-0.580889,0.254902,-0.609804,0.254902,-0.645362,0.254902,-0.700693,0.254902,-0.443992,0.254902,-0.754722,0.254902,-0.845162,0.254902,All
-0.645213,0.256863,-0.577786,0.256863,-0.604776,0.256863,-0.64287,0.256863,-0.697824,0.256863,-0.43285,0.256863,-0.752772,0.256863,-0.844922,0.256863,All
-0.643726,0.258824,-0.569743,0.258824,-0.586732,0.258824,-0.64104,0.258824,-0.690245,0.258824,-0.424237,0.258824,-0.747441,0.258824,-0.843229,0.258824,All
-0.640779,0.260784,-0.564062,0.260784,-0.584431,0.260784,-0.632878,0.260784,-0.687761,0.260784,-0.421177,0.260784,-0.744017,0.260784,-0.831302,0.260784,All
-0.637553,0.262745,-0.561503,0.262745,-0.58411,0.262745,-0.626784,0.262745,-0.68274,0.262745,-0.410314,0.262745,-0.734632,0.262745,-0.830447,0.262745,All
-0.633104,0.264706,-0.559628,0.264706,-0.567562,0.264706,-0.619597,0.264706,-0.680297,0.264706,-0.409237,0.264706,-0.72613,0.264706,-0.825183,0.264706,All
-0.620222,0.266667,-0.554767,0.266667,-0.559657,0.266667,-0.587207,0.266667,-0.675897,0.266667,-0.401391,0.266667,-0.723792,0.266667,-0.82261,0.266667,All
-0.617685,0.268627,-0.544362,0.268627,-0.558636,0.268627,-0.584692,0.268627,-0.669464,0.268627,-0.394806,0.268627,-0.719534,0.268627,-0.791618,0.268627,All
-0.604958,0.270588,-0.539545,0.270588,-0.558006,0.270588,-0.584395,0.270588,-0.663642,0.270588,-0.393016,0.270588,-0.701873,0.270588,-0.772727,0.270588,All
-0.602807,0.272549,-0.532167,0.272549,-0.555805,0.272549,-0.580075,0.272549,-0.65821,0.272549,-0.391668,0.272549,-0.695174,0.272549,-0.770408,0.272549,All
-0.586508,0.27451,-0.530892,0.27451,-0.555106,0.27451,-0.576624,0.27451,-0.655269,0.27451,-0.389359,0.27451,-0.695037,0.27451,-0.770349,0.27451,All
-0.585342,0.276471,-0.518918,0.276471,-0.546492,0.276471,-0.570747,0.276471,-0.638281,0.276471,-0.384245,0.276471,-0.693004,0.276471,-0.761556,0.276471,All
