initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-6.7104,0.818367,0.00200896,0.818367,-4.17529,0.816327,4.67871,0.816327,0.177501,0.816327,All
-6.703,0.820408,0.00203571,0.820408,-4.17485,0.818367,4.7293,0.818367,0.178857,0.818367,All
-6.69926,0.822449,0.00204028,0.822449,-4.17331,0.820408,4.8607,0.820408,0.179558,0.820408,All
-6.67884,0.82449,0.00206978,0.82449,-4.17298,0.822449,4.86865,0.822449,0.179893,0.822449,All
-6.64358,0.826531,0.0021012,0.826531,-4.16739,0.82449,4.89098,0.82449,0.180046,0.82449,All
-6.63926,0.828571,0.00213572,0.828571,-4.13668,0.826531,4.93919,0.826531,0.180239,0.826531,All
-6.61249,0.830612,0.00214285,0.830612,-4.13001,0.828571,4.95707,0.828571,0.181592,0.828571,All
-6.53072,0.832653,0.00219373,0.832653,-4.12821,0.830612,4.9893,0.830612,0.181656,0.830612,All
-6.52716,0.834694,0.00219443,0.834694,-4.11523,0.832653,4.99929,0.832653,0.181907,0.832653,All
-6.4941,0.836735,0.00220381,0.836735,-4.1134,0.834694,5.05913,0.834694,0.184326,0.834694,All
-6.4871,0.838776,0.00222125,0.838776,-4.10238,0.836735,5.10758,0.836735,0.184944,0.836735,All
-6.45441,0.840816,0.0022255,0.840816,-4.09483,0.838776,5.12495,0.838776,0.186507,0.838776,All
-6.44994,0.842857,0.00223812,0.842857,-4.09471,0.840816,5.15564,0.840816,0.187224,0.840816,All
-6.44569,0.844898,0.00226044,0.844898,-4.08437,0.842857,5.19038,0.842857,0.187585,0.842857,All
-6.41025,0.846939,0.00226784,0.846939,-4.08255,0.844898,5.21193,0.844898,0.188363,0.844898,All
-6.39588,0.84898,0.00228909,0.84898,-4.07372,0.846939,5.25518,0.846939,0.189292,0.846939,All
-6.38439,0.85102,0.0022893,0.85102,-4.06852,0.84898,5.26338,0.84898,0.18958,0.84898,All
